Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,C (all),FV,RH,RL,RM,BrkTil,CBlock,PConc,Stone,Wood,1.5Fin,1.5Unf,1Story,2.5Unf,2Story,SFoyer,SLvl,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,predicted Price
359,80,92.0,6930,2,0,5,4,1958,1958,120.0,1,1.0,5.0,300,294,468,1062,3.0,1352,0,0,1352,0,1,1,0,3,1,2,6,0,1958.0,0.0,1,288,168,0,294,0,0,0,0,7,2006,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1448,60,80.0,10000,3,0,8,5,1995,1996,438.0,2,2.0,7.0,1079,0,141,1220,3.0,1220,870,0,2090,1,0,2,1,3,1,2,8,1,1995.0,1.0,2,556,0,65,0,0,0,0,0,12,2007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1079,120,37.0,4435,3,0,6,5,2004,2004,169.0,2,2.0,7.0,662,0,186,848,3.0,848,0,0,848,1,0,1,0,1,1,2,3,1,2004.0,1.0,2,420,140,0,0,0,0,0,0,5,2006,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1051,20,73.0,8993,2,0,7,5,2007,2007,0.0,2,2.0,1.0,0,0,1302,1302,3.0,1302,0,0,1302,0,0,2,0,3,1,2,6,0,2007.0,2.0,2,436,0,22,0,0,0,0,0,8,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,20,93.0,12030,3,0,8,5,2007,2007,254.0,3,3.0,1.0,0,0,1694,1694,3.0,1694,0,0,1694,0,0,2,0,3,1,2,7,0,2007.0,2.0,3,818,168,228,0,0,0,0,0,12,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
791,120,43.0,3182,3,0,7,5,2005,2006,11.0,2,2.0,7.0,16,0,1129,1145,3.0,1145,0,0,1145,0,0,2,0,2,1,2,5,1,2005.0,2.0,2,397,100,16,0,0,0,0,0,9,2009,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1145,190,60.0,12180,3,0,4,4,1941,1950,0.0,1,2.0,5.0,348,0,324,672,0.0,672,252,0,924,1,0,1,0,2,1,0,5,0,1941.0,0.0,1,280,0,0,0,0,0,0,0,7,2010,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
664,85,90.0,10012,3,0,4,5,1972,1972,0.0,1,2.0,5.0,920,180,38,1138,1.0,1181,0,0,1181,1,0,2,0,3,1,1,6,0,1974.0,1.0,2,588,0,0,180,0,0,0,0,4,2008,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1090,120,37.0,3316,2,0,8,5,2005,2005,0.0,2,2.0,7.0,1039,0,208,1247,3.0,1247,0,0,1247,1,0,1,1,1,1,2,4,1,2005.0,2.0,2,550,0,84,0,0,0,0,0,4,2006,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
76,180,21.0,1596,3,0,4,5,1973,1973,0.0,1,2.0,7.0,462,0,0,462,1.0,526,462,0,988,1,0,1,0,2,1,1,5,0,1973.0,0.0,1,297,120,101,0,0,0,0,0,11,2009,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328957.56
887,90,70.0,8393,3,0,5,5,1959,2005,122.0,1,1.0,2.0,528,0,1098,1626,3.0,1712,0,0,1712,0,0,2,0,4,2,1,8,0,2005.0,2.0,2,588,272,54,0,0,0,0,0,6,2006,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
910,60,149.0,12589,1,0,6,5,2005,2005,0.0,2,2.0,1.0,0,0,742,742,3.0,742,742,0,1484,0,0,2,1,3,1,2,8,1,2005.0,2.0,2,390,36,24,0,0,0,0,0,6,2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
736,75,60.0,10800,3,0,7,7,1914,1970,0.0,1,2.0,4.0,390,0,490,880,0.0,880,888,0,1768,0,0,1,1,2,1,1,6,2,1914.0,0.0,2,320,0,341,0,0,0,0,0,10,2006,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
644,60,80.0,10793,3,0,5,5,1969,1969,263.0,1,1.0,4.0,493,287,0,780,3.0,780,840,0,1620,0,0,2,1,4,1,1,7,0,1969.0,2.0,2,462,208,0,0,0,0,0,0,4,2007,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
379,20,88.0,11394,3,0,9,2,2010,2010,350.0,2,3.0,7.0,1445,0,411,1856,3.0,1856,0,0,1856,1,0,1,1,1,1,3,8,1,2010.0,2.0,3,834,113,0,0,0,0,0,0,6,2010,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
991,60,82.0,9452,3,0,8,5,1997,1998,423.0,2,2.0,7.0,1074,0,322,1396,3.0,1407,985,0,2392,1,0,2,1,3,1,2,7,1,1997.0,2.0,3,870,0,70,0,0,0,0,0,6,2006,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1443,60,85.0,11003,3,0,10,5,2008,2008,160.0,3,3.0,7.0,765,0,252,1017,3.0,1026,981,0,2007,1,0,2,1,3,1,3,10,1,2008.0,2.0,3,812,168,52,0,0,0,0,0,4,2009,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
418,70,86.0,22420,2,0,6,6,1918,1950,0.0,1,2.0,5.0,1128,0,242,1370,1.0,1370,1254,0,2624,1,0,2,1,4,1,1,10,1,1918.0,0.0,3,864,0,0,0,0,0,0,0,11,2007,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
902,20,64.0,8712,2,0,5,7,1957,2000,0.0,1,1.0,5.0,860,0,132,992,1.0,1306,0,0,1306,1,0,1,0,2,1,1,5,0,1968.0,0.0,1,756,0,0,0,0,0,0,0,5,2009,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
1241,60,65.0,8158,3,0,7,5,2003,2003,252.0,2,2.0,7.0,550,0,334,884,3.0,884,884,0,1768,1,0,2,1,3,1,2,8,0,2003.0,1.0,2,543,0,63,0,0,0,0,0,7,2008,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,60,75.0,9375,3,0,8,5,2003,2004,768.0,2,3.0,1.0,0,0,1053,1053,3.0,1053,939,0,1992,0,0,2,1,3,1,2,9,1,2003.0,1.0,2,648,140,45,0,0,0,0,0,8,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93625.62
1404,20,49.0,15256,2,0,8,5,2007,2007,84.0,2,2.0,7.0,929,0,556,1485,3.0,1464,0,0,1464,1,0,2,0,3,1,2,6,0,2007.0,0.0,3,754,168,160,0,0,0,0,0,8,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
582,20,98.0,12704,3,0,8,5,2008,2009,306.0,3,3.0,1.0,0,0,2042,2042,3.0,2042,0,0,2042,0,0,2,1,3,1,3,8,1,2009.0,1.0,3,1390,0,90,0,0,0,0,0,8,2009,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
704,190,76.0,7630,3,0,5,9,1900,1996,0.0,1,2.0,1.0,0,0,360,360,2.0,1032,780,0,1812,0,0,2,0,4,2,2,8,1,1999.0,0.0,2,672,344,0,40,0,0,0,0,5,2010,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
648,20,85.0,10452,2,0,6,5,1953,1953,216.0,1,1.0,4.0,500,0,594,1094,3.0,1094,0,0,1094,0,0,1,0,3,1,1,5,2,1953.0,1.0,2,495,0,0,0,0,287,0,0,6,2008,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
569,50,79.0,12327,2,-1,8,8,1983,2009,0.0,2,2.0,7.0,1441,0,55,1496,3.0,1496,636,0,2132,1,0,1,1,1,1,2,5,1,1983.0,2.0,2,612,349,40,0,0,0,0,0,9,2009,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
1061,120,41.0,4920,3,0,8,5,2001,2001,0.0,2,2.0,7.0,616,0,722,1338,3.0,1338,0,0,1338,1,0,2,0,2,1,2,6,0,2001.0,2.0,2,582,0,0,170,0,0,0,0,4,2010,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
681,120,50.0,8012,3,0,6,5,1980,1980,0.0,1,2.0,5.0,543,119,261,923,1.0,923,0,0,923,0,0,2,0,2,1,1,5,1,1980.0,1.0,1,264,80,0,0,0,0,0,0,5,2010,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
70,50,81.0,15593,3,0,7,4,1953,1953,0.0,2,1.0,5.0,603,0,701,1304,1.0,1304,983,0,2287,0,0,2,0,3,1,1,7,1,1953.0,2.0,2,667,0,21,114,0,0,0,0,7,2006,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199930.84
1118,20,57.0,9764,2,0,5,7,1967,2003,0.0,1,1.0,5.0,702,0,192,894,3.0,894,0,0,894,1,0,1,0,3,1,2,5,0,1967.0,1.0,2,450,0,0,0,0,0,0,0,5,2008,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
316,60,71.0,7795,2,0,7,5,2004,2005,0.0,2,2.0,7.0,425,0,291,716,3.0,716,716,0,1432,1,0,2,1,3,1,2,6,1,2004.0,2.0,2,432,100,51,0,0,0,0,0,7,2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1043,120,34.0,5381,2,0,6,5,2005,2005,135.0,2,2.0,6.0,900,0,406,1306,3.0,1306,0,0,1306,1,0,2,0,1,1,2,5,1,2005.0,1.0,2,624,170,63,0,0,0,0,0,8,2009,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1088,60,85.0,10574,3,0,8,5,2005,2006,0.0,2,2.0,1.0,0,0,1082,1082,3.0,1082,871,0,1953,0,0,2,1,3,1,2,9,1,2005.0,1.0,3,1043,160,50,0,0,0,0,0,5,2009,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
1023,50,52.0,9439,3,0,5,5,1930,1950,0.0,1,1.0,2.0,324,0,588,912,2.0,912,336,0,1248,0,0,1,0,2,1,1,6,0,1957.0,0.0,1,160,0,0,192,0,0,0,0,3,2007,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
868,20,85.0,6970,3,0,4,5,1961,1961,0.0,1,1.0,6.0,932,0,108,1040,1.0,1120,0,0,1120,1,0,1,1,3,1,0,5,0,1961.0,1.0,2,544,168,0,0,0,0,0,400,5,2007,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
469,20,98.0,11428,2,0,8,5,2006,2006,248.0,2,2.0,1.0,0,0,1626,1626,3.0,1634,0,0,1634,0,0,2,0,3,1,2,7,1,2006.0,1.0,3,866,0,44,0,0,0,0,0,5,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1210,20,85.0,10182,2,0,8,5,2006,2006,420.0,2,3.0,7.0,1220,0,440,1660,3.0,1660,0,0,1660,1,0,2,0,3,1,2,8,1,2006.0,1.0,2,500,322,50,0,0,0,0,0,5,2006,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
34,20,70.0,10552,2,0,5,5,1959,1959,0.0,1,1.0,4.0,1018,0,380,1398,2.0,1700,0,0,1700,0,1,1,1,4,1,2,6,1,1959.0,1.0,2,447,0,38,0,0,0,0,0,4,2010,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110784.0
1208,20,70.0,9135,3,0,6,5,2003,2003,120.0,2,2.0,7.0,340,0,1342,1682,3.0,1700,0,0,1700,1,0,2,0,3,1,2,7,0,2003.0,1.0,2,544,192,23,0,0,0,0,0,5,2006,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
355,50,60.0,8400,3,1,6,5,1940,2000,0.0,1,1.0,2.0,388,0,552,940,3.0,1192,403,0,1595,0,0,1,0,2,1,1,6,2,1940.0,0.0,1,240,0,0,108,0,0,0,0,6,2006,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
462,70,60.0,7200,3,0,7,9,1936,2007,0.0,2,2.0,6.0,350,210,0,560,3.0,575,560,0,1135,1,0,1,0,3,1,2,6,0,1971.0,1.0,2,576,256,0,0,0,0,0,0,4,2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1013,70,55.0,10592,3,0,6,7,1923,1996,0.0,1,1.0,1.0,0,0,602,602,1.0,900,602,0,1502,0,0,1,1,3,1,2,7,2,1923.0,0.0,1,180,96,0,112,0,53,0,0,8,2007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1409,70,60.0,7740,3,0,4,7,1910,1950,0.0,1,0.0,1.0,0,0,622,622,2.0,741,622,0,1363,0,0,1,0,3,1,1,6,0,1966.0,0.0,2,528,0,0,0,0,168,0,0,6,2010,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
749,20,59.0,10593,2,0,7,5,1996,1996,338.0,2,2.0,7.0,919,0,801,1720,3.0,1720,0,0,1720,1,0,2,0,3,1,2,7,1,1996.0,2.0,2,527,240,56,154,0,0,0,0,3,2010,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
62,75,60.0,7200,3,0,5,7,1920,1996,0.0,1,1.0,1.0,0,0,530,530,1.0,581,530,0,1111,0,0,1,0,3,1,0,6,0,1935.0,0.0,1,288,0,0,144,0,0,0,0,3,2007,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121556.58
1459,20,68.0,9717,3,0,5,6,1950,1996,0.0,1,1.0,7.0,49,1029,0,1078,2.0,1078,0,0,1078,1,0,1,0,2,1,2,5,0,1950.0,0.0,1,240,366,0,112,0,0,0,0,4,2010,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
616,85,80.0,8800,3,0,6,7,1963,1963,156.0,1,1.0,7.0,763,0,173,936,3.0,1054,0,0,1054,1,0,1,0,3,1,2,6,0,1963.0,1.0,2,480,120,0,0,0,0,0,0,5,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
1377,30,52.0,6292,3,1,6,5,1930,1950,0.0,1,2.0,4.0,384,0,384,768,1.0,790,0,0,790,0,0,1,0,2,1,1,4,0,1925.0,0.0,1,160,0,141,0,0,0,0,0,4,2008,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
423,20,100.0,21750,3,2,5,5,1954,1954,0.0,1,1.0,1.0,0,0,988,988,3.0,988,0,0,988,0,0,1,0,2,1,1,4,0,1954.0,1.0,2,520,0,0,0,0,0,0,0,2,2008,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1096,20,78.0,9317,2,0,6,5,2006,2006,0.0,2,2.0,7.0,24,0,1290,1314,2.0,1314,0,0,1314,0,0,2,0,3,1,2,6,1,2006.0,1.0,2,440,0,22,0,0,0,0,0,3,2007,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,90,110.0,8472,1,1,5,5,1963,1963,0.0,0,2.0,2.0,104,712,0,816,1.0,816,0,0,816,1,0,1,0,2,1,1,5,0,1963.0,0.0,2,516,106,0,0,0,0,0,0,5,2010,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162734.8
237,20,65.0,8773,3,0,7,5,2004,2004,98.0,2,2.0,7.0,24,0,1390,1414,3.0,1414,0,0,1414,0,0,2,0,3,1,2,6,0,2004.0,1.0,2,494,132,105,0,0,0,0,0,5,2010,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
